10000000
Uniform random distribution,1,31966,31998,31986,31979,32148,32101,32141,31992,32056,32002
Uniform random distribution,2,16391,16576,16486,16456,16402,16393,16395,16390,16461,16404
Uniform random distribution,3,11133,11131,11109,11112,11138,11154,11227,11165,11186,11184
Uniform random distribution,4,8576,8716,8640,8654,8617,8631,8588,8611,8590,8576
Uniform random distribution,5,7067,7022,7054,7033,7038,7187,7086,7246,7113,7192
Uniform random distribution,6,6212,6126,6183,6055,6113,6038,6471,6096,6069,6232
Uniform random distribution,7,6154,5527,5543,5651,5743,6368,5949,6430,8330,7281
Uniform random distribution,8,5433,5485,5526,5540,5555,5445,5528,5565,5777,8571
Common value distribution,1,33378,33451,33640,33385,33486,33406,33450,33814,34911,34344
Common value distribution,2,17740,17154,17156,17862,17185,17117,17123,17141,17146,17097
Common value distribution,3,11648,11586,11600,11630,11587,11653,11623,11618,12801,11961
Common value distribution,4,9383,8943,9198,9011,8929,8919,8970,9020,8922,8963
Common value distribution,5,7438,7341,7426,7415,7453,7484,7465,7359,7303,7321
Common value distribution,6,6289,6285,6507,6289,6333,6339,8306,8397,8012,8259
Common value distribution,7,6756,5673,5784,5679,5919,5666,6086,5760,5690,5964
Common value distribution,8,5791,5790,5956,6254,5793,7530,8040,7679,7726,7650
Monotomically increasing,1,16565,16516,16527,16521,16799,16631,16830,16642,17543,17298
Monotomically increasing,2,10289,11408,8962,8735,9143,9415,10490,10156,10897,10160
Monotomically increasing,3,7871,6463,6180,6646,6601,6622,6555,6948,8249,9695
Monotomically increasing,4,8365,8181,6368,6663,6442,5707,5515,5759,6258,5838
Monotomically increasing,5,5922,5598,5849,5811,6025,6100,5362,5821,5594,5437
Monotomically increasing,6,4311,4340,4210,4941,4243,4384,4554,4510,4509,4702
Monotomically increasing,7,4693,5115,4883,5478,4170,4247,4386,4221,4280,4206
Monotomically increasing,8,4245,4429,4451,4403,4840,4351,5113,4246,4193,4080
